Country,Year,Country Code,child_obesity%,adult_obesity_Both sexes,adult_obesity_Male,adult_obesity_Female,percentage_pop_urban,Total Population - Both sexes,Total Population - Male,Total Population - Female,pop_undernourrish,adult_lsport_bothsex,adult_lsport_male,adult_lsport_female,child_lsport_bothsex,child_lsport_male,child_lsport_female,PIB/hab in $,Fat_supply_quantity(g_capita_day),Food_supply(kcal_capita_day),Protein_supply_quantity(g/capita/day),Fat_supply_kcal_capita_day,Percentage_supply_fat_capita_day,animal_tne,vegetal_tne,part_aliments_animaux,Continent,%Use_of_Mental_disorders_substance,Alcohol_kcal_day_capita,People per Mcdo,child_obesity_nb,adult_obesity_Both sexes_nb,adult_obesity_Male_nb,adult_obesity_Female_nb,Africa,Americas,Asia,Oceania,Europe,Kmeans
Lebanon,2016,LBN,0.25331,0.32,0.274,0.37,0.88266,6714281,3337135,3377146,0.0596,0.364,0.398,0.33,0.821,0.76,0.879,8530.361597,88.27,2925,68.49,794.43,0.2716,1595,5712,0.2183,Asia,0.159704779968,21,264435,1700795,2148570,914375,1249544,0,0,1,0,0,1
Lithuania,2016,LTU,0.20488,0.263,0.242,0.278,0.67366,2889557,1557606,1331949,0,0.265,0.232,0.292,0.801,0.76,0.845,14793.084253,97.95,3412,127.92,881.55,0.258367526377491,2681,3682,0.4213,Europe,0.121954980603,237,199586,592012,759953,376941,370282,0,0,0,1,0,0
Luxembourg,2016,LUX,0.2996,0.226,0.245,0.207,0.9046,579264,287974,291292,0,0.284,0.264,0.304,0.792,0.734,0.854,105413.460154,137.57,3318,106.27,1238.13,0.373155515370705,441,779,0.3615,Europe,0.146281371768,306,59067,173547,130914,70554,60297,0,0,0,1,0,1
Malaysia,2016,MYS,0.35414,0.156,0.13,0.179,0.7484,30684654,14893934,15790718,0.0358,0.388,0.346,0.428,0.862,0.806,0.914,9659.564758,89.72,2843,77.86,807.48,0.28402391839606,9631,21723,0.3072,Asia,0.121554645863,11,100701,10866663,4786806,1936211,2826539,0,0,1,0,0,0
Maldives,2016,MDV,0.14802,0.086,0.058,0.114,0.38954,475512,186567,288938,0,0.303,0.258,0.348,0.819,0.779,0.861,10237.458447,54.59,2409,95.12,491.31,0.203947696139477,223,320,0.4107,Asia,0.11092378906,16,,70385,40894,10821,32939,0,0,1,0,0,2
Malta,2016,MLT,0.39366,0.289,0.292,0.285,0.9448,436097,217660,218439,0,0.417,0.362,0.472,0.814,0.767,0.858,26649.176855,115.64,3400,113.65,1040.76,0.306105882352941,281,543,0.341,Europe,0.143370404034,130,46023,171674,126032,63557,62255,0,0,0,1,0,1
Mauritania,2016,MRT,0.10968,0.127,0.066,0.185,0.51962,4163533,2076282,2087250,0.1201,0.413,0.365,0.461,0.872,0.832,0.914,1526.64641,62.16,2749,79.68,559.44,0.203506729719898,1576,2242,0.4128,Africa,0.112938242036,0,,456656,528769,137035,386141,1,0,0,0,0,2
Mauritius,2016,MUS,0.30348,0.108,0.056,0.157,0.4091,1261865,637242,624628,0.0792,0.298,0.276,0.318,0.822,0.762,0.884,9691.909714,93.53,2986,87.24,841.77,0.281905559276624,526,1059,0.3319,Africa,0.113476668021,55,180714,382951,136281,35686,98067,1,0,0,0,0,2
Mexico,2016,MEX,0.23974,0.289,0.243,0.328,0.79577,123333376,63018020,60315359,0.0641,0.289,0.255,0.322,0.832,0.788,0.876,8450.892079,101.24,3253,93.23,911.16,0.280098370734706,51287,113926,0.3104,Americas,0.108541927821,72,321393,29567944,35643346,15313379,19783438,0,1,0,0,0,1
Moldova,2016,MDA,0.10441,0.189,0.162,0.211,0.42511,4066009,2113043,1952970,0,0.115,0.121,0.109,0.757,0.733,0.782,1988.238607,71.83,2424,63.93,646.47,0.266695544554455,1560,3042,0.339,Europe,0.115716654214,96,710000,424532,768476,342313,412077,0,0,0,1,0,2
Mongolia,2016,MNG,0.24102,0.206,0.175,0.232,0.68297,3056364,1546658,1509700,0.1963,0.186,0.178,0.194,0.787,0.742,0.834,3695.170093,95.2,2565,86.05,856.8,0.334035087719298,1327,1898,0.4115,Asia,0.112451623537,76,,736645,629611,270665,350250,0,0,1,0,0,0
Morocco,2016,MAR,0.31619,0.261,0.194,0.322,0.6136,35126283,17715791,17410483,0.037,0.262,0.207,0.314,0.873,0.846,0.901,2928.608681,69.52,3429,98.89,625.68,0.18246719160105,7925,39041,0.1687,Africa,0.162519465092,5,750553,11106579,9167960,3436863,5606176,1,0,0,0,0,0
Mozambique,2016,MOZ,0.19212,0.072,0.033,0.105,0.34926,27829938,14346169,13483761,0.3306,0.056,0.05,0.06,0.871,0.83,0.913,414.055163,40.99,2362,50.92,368.91,0.156185436071126,1271,23697,0.0509,Africa,0.127339974727,17,,5346688,2003756,473424,1415795,1,0,0,0,0,2
Myanmar,2016,MMR,0.14915,0.058,0.04,0.073,0.30082,53045201,27478828,25566371,0.1357,0.107,0.081,0.131,0.868,0.841,0.896,1221.322227,79.19,2728,92.23,712.71,0.261257331378299,14226,37013,0.2776,Asia,0.105362384372,8,,7911692,3076622,1099153,1866345,0,0,1,0,0,2
