"","","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)","Prevalence of insufficient physical activity among school going adolescents aged 11-17 (crude estimate)"
"Country","Year"," Both sexes"," Male"," Female"
"Lebanon"," 2004","82.8 [80.0-85.4]","77.6 [74.2-80.7]","87.8 [85.5-89.8]"
"Lebanon"," 2003","82.9 [80.0-85.4]","77.8 [74.3-80.9]","87.8 [85.4-89.8]"
"Lebanon"," 2002","82.9 [79.9-85.4]","77.9 [74.4-81.0]","87.8 [85.4-89.8]"
"Lebanon"," 2001","82.9 [79.9-85.5]","78.0 [74.5-81.2]","87.8 [85.3-89.8]"
"Lesotho"," 2010","No data","No data","No data"
"Liberia"," 2010","No data","No data","No data"
"Libya"," 2016","83.2 [80.4-85.6]","78.0 [74.6-81.0]","88.6 [86.5-90.4]"
"Libya"," 2015","83.2 [80.5-85.6]","78.1 [74.8-81.1]","88.6 [86.5-90.4]"
"Libya"," 2014","83.2 [80.6-85.6]","78.2 [74.9-81.1]","88.6 [86.5-90.4]"
"Libya"," 2013","83.3 [80.6-85.7]","78.3 [75.0-81.2]","88.5 [86.5-90.3]"
"Libya"," 2012","83.3 [80.7-85.7]","78.4 [75.1-81.3]","88.5 [86.5-90.3]"
"Libya"," 2011","83.4 [80.7-85.7]","78.5 [75.3-81.3]","88.5 [86.5-90.3]"
"Libya"," 2010","83.4 [80.8-85.7]","78.5 [75.4-81.4]","88.5 [86.5-90.3]"
"Libya"," 2009","83.4 [80.8-85.8]","78.6 [75.5-81.5]","88.5 [86.4-90.3]"
"Libya"," 2008","83.5 [80.8-85.8]","78.7 [75.5-81.6]","88.5 [86.4-90.3]"
"Libya"," 2007","83.5 [80.9-85.9]","78.8 [75.6-81.7]","88.5 [86.4-90.3]"
"Libya"," 2006","83.6 [80.9-85.9]","78.9 [75.7-81.8]","88.5 [86.4-90.3]"
"Libya"," 2005","83.6 [80.9-86.0]","79.0 [75.8-81.9]","88.5 [86.4-90.3]"
"Libya"," 2004","83.7 [81.0-86.0]","79.1 [75.8-82.0]","88.5 [86.3-90.3]"
"Libya"," 2003","83.7 [81.0-86.1]","79.2 [75.9-82.1]","88.5 [86.3-90.3]"
"Libya"," 2002","83.7 [81.0-86.2]","79.2 [76.0-82.2]","88.5 [86.2-90.4]"
"Libya"," 2001","83.8 [81.0-86.2]","79.3 [76.0-82.3]","88.5 [86.2-90.4]"
"Lithuania"," 2016","80.1 [77.0-82.9]","76.0 [72.5-79.2]","84.5 [81.8-86.9]"
"Lithuania"," 2015","80.1 [77.0-82.9]","76.0 [72.6-79.1]","84.5 [81.8-86.9]"
"Lithuania"," 2014","80.1 [77.1-82.8]","76.0 [72.7-79.0]","84.5 [81.8-86.8]"
"Lithuania"," 2013","80.1 [77.1-82.8]","76.0 [72.7-79.0]","84.5 [81.8-86.8]"
"Lithuania"," 2012","80.1 [77.1-82.7]","76.0 [72.8-78.9]","84.4 [81.8-86.8]"
"Lithuania"," 2011","80.1 [77.2-82.7]","76.0 [72.8-78.9]","84.4 [81.8-86.7]"
"Lithuania"," 2010","80.1 [77.2-82.7]","76.0 [72.8-78.9]","84.4 [81.7-86.7]"
"Lithuania"," 2009","80.1 [77.2-82.7]","76.0 [72.9-78.8]","84.3 [81.7-86.7]"
"Lithuania"," 2008","80.1 [77.2-82.6]","76.0 [72.9-78.8]","84.3 [81.7-86.6]"
"Lithuania"," 2007","80.0 [77.2-82.6]","76.0 [72.9-78.8]","84.3 [81.7-86.6]"
"Lithuania"," 2006","80.0 [77.2-82.6]","76.0 [72.9-78.8]","84.3 [81.6-86.6]"
"Lithuania"," 2005","80.0 [77.2-82.6]","76.0 [72.9-78.8]","84.2 [81.6-86.6]"
"Lithuania"," 2004","80.0 [77.1-82.6]","76.0 [72.9-78.8]","84.2 [81.5-86.6]"
"Lithuania"," 2003","80.0 [77.1-82.6]","76.0 [72.9-78.8]","84.2 [81.5-86.6]"
"Lithuania"," 2002","80.0 [77.1-82.6]","76.0 [72.9-78.8]","84.2 [81.4-86.6]"
"Lithuania"," 2001","80.0 [77.0-82.6]","75.9 [72.8-78.8]","84.1 [81.4-86.6]"
"Luxembourg"," 2016","79.2 [76.5-81.7]","73.4 [70.2-76.4]","85.4 [83.2-87.4]"
"Luxembourg"," 2015","79.3 [76.7-81.8]","73.6 [70.5-76.5]","85.4 [83.2-87.4]"
"Luxembourg"," 2014","79.5 [76.9-81.8]","73.8 [70.8-76.6]","85.4 [83.3-87.3]"
"Luxembourg"," 2013","79.6 [77.0-81.9]","74.0 [71.1-76.7]","85.4 [83.3-87.3]"
"Luxembourg"," 2012","79.7 [77.2-81.9]","74.2 [71.4-76.8]","85.4 [83.4-87.3]"
"Luxembourg"," 2011","79.8 [77.4-82.0]","74.4 [71.6-77.0]","85.5 [83.4-87.3]"
"Luxembourg"," 2010","79.9 [77.5-82.0]","74.6 [71.9-77.1]","85.5 [83.4-87.3]"
"Luxembourg"," 2009","80.0 [77.7-82.1]","74.8 [72.2-77.2]","85.5 [83.5-87.2]"
"Luxembourg"," 2008","80.1 [77.8-82.2]","75.0 [72.4-77.4]","85.5 [83.5-87.2]"
"Luxembourg"," 2007","80.2 [78.0-82.3]","75.2 [72.7-77.5]","85.5 [83.5-87.2]"
"Luxembourg"," 2006","80.3 [78.1-82.4]","75.4 [72.9-77.7]","85.5 [83.5-87.2]"
"Luxembourg"," 2005","80.4 [78.2-82.5]","75.6 [73.1-77.9]","85.5 [83.5-87.3]"
"Luxembourg"," 2004","80.5 [78.3-82.6]","75.8 [73.3-78.0]","85.5 [83.5-87.3]"
"Luxembourg"," 2003","80.6 [78.4-82.7]","75.9 [73.5-78.2]","85.5 [83.5-87.3]"
"Luxembourg"," 2002","80.7 [78.5-82.8]","76.1 [73.7-78.4]","85.5 [83.4-87.3]"
"Luxembourg"," 2001","80.8 [78.5-82.9]","76.3 [73.9-78.6]","85.5 [83.4-87.3]"
"Madagascar"," 2010","No data","No data","No data"
"Malawi"," 2010","No data","No data","No data"
"Malaysia"," 2016","86.2 [83.2-88.7]","80.6 [76.6-84.0]","91.4 [89.3-93.2]"
"Malaysia"," 2015","86.2 [83.2-88.8]","80.7 [76.8-84.1]","91.4 [89.3-93.1]"
"Malaysia"," 2014","86.3 [83.3-88.8]","80.8 [77.0-84.2]","91.4 [89.3-93.1]"
"Malaysia"," 2013","86.3 [83.4-88.8]","81.0 [77.2-84.3]","91.4 [89.2-93.1]"
"Malaysia"," 2012","86.4 [83.4-88.8]","81.1 [77.3-84.4]","91.3 [89.2-93.1]"
"Malaysia"," 2011","86.4 [83.5-88.9]","81.2 [77.5-84.5]","91.3 [89.2-93.0]"
"Malaysia"," 2010","86.4 [83.5-88.9]","81.4 [77.7-84.6]","91.3 [89.2-93.0]"
"Malaysia"," 2009","86.5 [83.6-88.9]","81.5 [77.8-84.7]","91.3 [89.1-93.0]"
"Malaysia"," 2008","86.5 [83.6-88.9]","81.6 [78.0-84.8]","91.2 [89.1-93.0]"
"Malaysia"," 2007","86.5 [83.6-88.9]","81.8 [78.1-84.9]","91.2 [89.1-93.0]"
"Malaysia"," 2006","86.5 [83.6-89.0]","81.9 [78.3-85.0]","91.2 [89.1-92.9]"
"Malaysia"," 2005","86.5 [83.7-89.0]","82.0 [78.4-85.1]","91.2 [89.0-92.9]"
"Malaysia"," 2004","86.5 [83.7-89.0]","82.1 [78.5-85.2]","91.1 [89.0-92.9]"
"Malaysia"," 2003","86.6 [83.7-89.0]","82.3 [78.7-85.4]","91.1 [88.9-92.9]"
"Malaysia"," 2002","86.6 [83.7-89.1]","82.4 [78.8-85.5]","91.1 [88.9-92.9]"
"Malaysia"," 2001","86.7 [83.7-89.2]","82.5 [78.9-85.6]","91.1 [88.8-92.9]"
"Maldives"," 2016","81.9 [78.4-84.9]","77.9 [73.9-81.4]","86.1 [83.2-88.6]"
"Maldives"," 2015","82.0 [78.6-85.0]","78.1 [74.2-81.6]","86.1 [83.2-88.6]"
"Maldives"," 2014","82.1 [78.8-85.1]","78.3 [74.5-81.7]","86.1 [83.2-88.5]"
"Maldives"," 2013","82.2 [78.9-85.2]","78.6 [74.8-81.9]","86.1 [83.2-88.5]"
"Maldives"," 2012","82.4 [79.0-85.3]","78.8 [75.1-82.1]","86.1 [83.2-88.5]"
"Maldives"," 2011","82.5 [79.2-85.3]","79.0 [75.3-82.3]","86.1 [83.2-88.5]"
"Maldives"," 2010","82.6 [79.3-85.4]","79.3 [75.6-82.5]","86.1 [83.2-88.5]"
"Maldives"," 2009","82.7 [79.4-85.5]","79.5 [75.8-82.7]","86.1 [83.2-88.5]"
"Maldives"," 2008","82.8 [79.5-85.7]","79.7 [76.1-83.0]","86.1 [83.2-88.5]"
"Maldives"," 2007","82.9 [79.6-85.8]","80.0 [76.3-83.2]","86.0 [83.1-88.5]"
"Maldives"," 2006","83.0 [79.7-85.9]","80.2 [76.6-83.4]","86.0 [83.1-88.5]"
"Maldives"," 2005","83.1 [79.8-86.0]","80.4 [76.8-83.6]","86.0 [83.1-88.6]"
"Maldives"," 2004","83.3 [79.9-86.1]","80.6 [77.0-83.8]","86.0 [83.0-88.6]"
"Maldives"," 2003","83.4 [80.0-86.3]","80.9 [77.2-84.0]","86.0 [83.0-88.6]"
"Maldives"," 2002","83.5 [80.1-86.4]","81.1 [77.4-84.3]","86.0 [82.9-88.6]"
"Maldives"," 2001","83.6 [80.2-86.5]","81.3 [77.6-84.5]","86.0 [82.9-88.7]"
"Mali"," 2010","No data","No data","No data"
"Malta"," 2016","81.4 [78.8-83.8]","76.7 [73.6-79.5]","85.8 [83.6-87.8]"
"Malta"," 2015","81.5 [78.9-83.8]","76.7 [73.7-79.4]","85.8 [83.6-87.8]"
"Malta"," 2014","81.5 [79.0-83.8]","76.7 [73.9-79.4]","85.8 [83.7-87.7]"
"Malta"," 2013","81.5 [79.1-83.8]","76.8 [74.0-79.4]","85.8 [83.7-87.7]"
"Malta"," 2012","81.6 [79.2-83.7]","76.8 [74.1-79.4]","85.8 [83.7-87.7]"
"Malta"," 2011","81.6 [79.2-83.7]","76.9 [74.2-79.4]","85.8 [83.7-87.6]"
"Malta"," 2010","81.6 [79.3-83.7]","76.9 [74.3-79.4]","85.8 [83.8-87.6]"
"Malta"," 2009","81.5 [79.2-83.6]","77.0 [74.4-79.4]","85.8 [83.8-87.6]"
"Malta"," 2008","81.4 [79.1-83.5]","77.0 [74.5-79.4]","85.8 [83.8-87.6]"
"Malta"," 2007","81.3 [79.0-83.4]","77.0 [74.5-79.4]","85.8 [83.8-87.6]"
"Malta"," 2006","81.2 [78.9-83.3]","77.1 [74.6-79.4]","85.8 [83.7-87.6]"
"Malta"," 2005","81.2 [78.9-83.3]","77.1 [74.6-79.4]","85.8 [83.7-87.6]"
"Malta"," 2004","81.2 [79.0-83.3]","77.2 [74.7-79.5]","85.7 [83.7-87.6]"
"Malta"," 2003","81.3 [79.0-83.3]","77.2 [74.7-79.5]","85.7 [83.7-87.6]"
"Malta"," 2002","81.3 [79.0-83.4]","77.3 [74.8-79.6]","85.7 [83.6-87.6]"
"Malta"," 2001","81.4 [79.0-83.5]","77.3 [74.8-79.6]","85.7 [83.6-87.6]"
"Marshall Islands"," 2010","No data","No data","No data"
"Mauritania"," 2016","87.2 [84.7-89.4]","83.2 [80.1-85.9]","91.4 [89.4-93.0]"
"Mauritania"," 2015","87.3 [84.8-89.4]","83.3 [80.2-86.0]","91.3 [89.4-92.9]"
"Mauritania"," 2014","87.3 [84.8-89.4]","83.4 [80.4-86.0]","91.3 [89.4-92.9]"
"Mauritania"," 2013","87.3 [84.9-89.4]","83.5 [80.5-86.0]","91.3 [89.4-92.9]"
"Mauritania"," 2012","87.3 [84.9-89.4]","83.5 [80.6-86.1]","91.2 [89.4-92.8]"
"Mauritania"," 2011","87.3 [85.0-89.4]","83.6 [80.7-86.1]","91.2 [89.3-92.8]"
"Mauritania"," 2010","87.4 [85.0-89.4]","83.7 [80.8-86.2]","91.2 [89.3-92.8]"
"Mauritania"," 2009","87.4 [85.0-89.4]","83.7 [80.9-86.2]","91.1 [89.3-92.7]"
"Mauritania"," 2008","87.4 [85.1-89.4]","83.8 [81.0-86.3]","91.1 [89.2-92.7]"
"Mauritania"," 2007","87.4 [85.1-89.4]","83.9 [81.1-86.3]","91.1 [89.2-92.7]"
"Mauritania"," 2006","87.4 [85.1-89.5]","84.0 [81.2-86.4]","91.0 [89.2-92.6]"
"Mauritania"," 2005","87.5 [85.1-89.5]","84.0 [81.3-86.5]","91.0 [89.1-92.6]"
"Mauritania"," 2004","87.5 [85.1-89.5]","84.1 [81.3-86.5]","91.0 [89.1-92.6]"
"Mauritania"," 2003","87.5 [85.1-89.5]","84.2 [81.4-86.6]","90.9 [89.0-92.6]"
"Mauritania"," 2002","87.5 [85.1-89.6]","84.2 [81.5-86.7]","90.9 [89.0-92.5]"
"Mauritania"," 2001","87.5 [85.2-89.6]","84.3 [81.5-86.7]","90.9 [88.9-92.5]"
"Mauritius"," 2016","82.2 [79.1-84.9]","76.2 [72.4-79.6]","88.4 [86.0-90.5]"
"Mauritius"," 2015","82.4 [79.3-85.1]","76.5 [72.8-79.9]","88.4 [86.0-90.4]"
"Mauritius"," 2014","82.5 [79.5-85.2]","76.9 [73.2-80.1]","88.4 [86.1-90.4]"
"Mauritius"," 2013","82.7 [79.7-85.3]","77.2 [73.6-80.4]","88.4 [86.1-90.4]"
"Mauritius"," 2012","82.9 [80.0-85.4]","77.5 [74.0-80.6]","88.4 [86.1-90.4]"
"Mauritius"," 2011","83.0 [80.2-85.6]","77.8 [74.4-80.9]","88.4 [86.1-90.4]"
"Mauritius"," 2010","83.2 [80.4-85.7]","78.1 [74.7-81.1]","88.4 [86.1-90.4]"
"Mauritius"," 2009","83.4 [80.5-85.8]","78.4 [75.1-81.4]","88.4 [86.1-90.4]"
"Mauritius"," 2008","83.5 [80.7-86.0]","78.7 [75.4-81.7]","88.4 [86.1-90.4]"
"Mauritius"," 2007","83.7 [80.9-86.1]","79.0 [75.8-81.9]","88.4 [86.1-90.4]"
"Mauritius"," 2006","83.8 [81.1-86.3]","79.3 [76.1-82.2]","88.4 [86.1-90.4]"
"Mauritius"," 2005","84.0 [81.2-86.4]","79.6 [76.4-82.5]","88.4 [86.1-90.4]"
"Mauritius"," 2004","84.1 [81.4-86.5]","79.9 [76.7-82.7]","88.4 [86.1-90.4]"
"Mauritius"," 2003","84.3 [81.5-86.7]","80.2 [77.0-83.0]","88.4 [86.1-90.4]"
"Mauritius"," 2002","84.4 [81.6-86.8]","80.5 [77.3-83.3]","88.5 [86.1-90.4]"
"Mauritius"," 2001","84.6 [81.8-87.0]","80.7 [77.6-83.6]","88.5 [86.1-90.5]"
"Mexico"," 2016","83.2 [80.8-85.3]","78.8 [76.0-81.4]","87.6 [85.7-89.4]"
"Mexico"," 2015","83.2 [80.9-85.4]","79.0 [76.2-81.5]","87.6 [85.7-89.3]"
"Mexico"," 2014","83.3 [80.9-85.4]","79.1 [76.4-81.6]","87.6 [85.7-89.3]"
"Mexico"," 2013","83.3 [81.0-85.4]","79.2 [76.5-81.6]","87.6 [85.7-89.3]"
"Mexico"," 2012","83.4 [81.1-85.4]","79.3 [76.7-81.7]","87.6 [85.7-89.3]"
"Mexico"," 2011","83.4 [81.2-85.5]","79.4 [76.8-81.8]","87.6 [85.7-89.3]"
"Mexico"," 2010","83.5 [81.2-85.5]","79.5 [76.9-81.9]","87.6 [85.7-89.3]"
"Mexico"," 2009","83.5 [81.3-85.6]","79.6 [77.1-82.0]","87.6 [85.7-89.2]"
"Mexico"," 2008","83.6 [81.3-85.6]","79.8 [77.2-82.1]","87.6 [85.7-89.2]"
"Mexico"," 2007","83.6 [81.4-85.7]","79.9 [77.3-82.2]","87.6 [85.6-89.2]"
"Mexico"," 2006","83.7 [81.4-85.7]","80.0 [77.4-82.4]","87.5 [85.6-89.2]"
"Mexico"," 2005","83.7 [81.5-85.8]","80.1 [77.5-82.5]","87.5 [85.6-89.3]"
"Mexico"," 2004","83.8 [81.5-85.9]","80.2 [77.6-82.6]","87.5 [85.5-89.3]"
"Mexico"," 2003","83.9 [81.5-85.9]","80.3 [77.7-82.7]","87.5 [85.5-89.3]"
"Mexico"," 2002","83.9 [81.5-86.0]","80.4 [77.7-82.9]","87.5 [85.5-89.3]"
"Mexico"," 2001","84.0 [81.6-86.1]","80.5 [77.8-83.0]","87.5 [85.4-89.3]"
"Micronesia (Federated States of)"," 2010","No data","No data","No data"
"Monaco"," 2010","No data","No data","No data"
"Mongolia"," 2016","78.7 [75.5-81.7]","74.2 [70.5-77.5]","83.4 [80.6-85.9]"
"Mongolia"," 2015","78.9 [75.7-81.8]","74.4 [70.8-77.7]","83.5 [80.6-85.9]"
"Mongolia"," 2014","79.0 [75.9-81.8]","74.6 [71.1-77.8]","83.5 [80.7-85.9]"
"Mongolia"," 2013","79.1 [76.0-81.9]","74.9 [71.4-78.0]","83.5 [80.7-85.9]"
"Mongolia"," 2012","79.3 [76.2-82.0]","75.1 [71.7-78.2]","83.5 [80.8-85.9]"
"Mongolia"," 2011","79.4 [76.3-82.2]","75.3 [71.9-78.4]","83.5 [80.8-85.9]"
"Mongolia"," 2010","79.5 [76.5-82.3]","75.6 [72.2-78.6]","83.5 [80.8-85.9]"
"Mongolia"," 2009","79.6 [76.6-82.4]","75.8 [72.4-78.9]","83.5 [80.8-86.0]"
"Mongolia"," 2008","79.8 [76.7-82.5]","76.0 [72.7-79.1]","83.6 [80.8-86.0]"
"Mongolia"," 2007","79.9 [76.8-82.6]","76.3 [72.9-79.3]","83.6 [80.8-86.0]"
"Mongolia"," 2006","80.0 [76.9-82.8]","76.5 [73.1-79.5]","83.6 [80.8-86.0]"
"Mongolia"," 2005","80.1 [77.0-82.9]","76.7 [73.4-79.8]","83.6 [80.8-86.1]"
"Mongolia"," 2004","80.2 [77.1-83.0]","76.9 [73.6-80.0]","83.6 [80.7-86.1]"
"Mongolia"," 2003","80.4 [77.2-83.2]","77.2 [73.8-80.2]","83.6 [80.7-86.1]"
"Mongolia"," 2002","80.5 [77.3-83.3]","77.4 [74.0-80.5]","83.6 [80.7-86.2]"
"Mongolia"," 2001","80.6 [77.4-83.4]","77.6 [74.1-80.7]","83.6 [80.6-86.2]"
"Montenegro"," 2010","No data","No data","No data"
"Morocco"," 2016","87.3 [85.0-89.2]","84.6 [82.0-86.8]","90.1 [88.2-91.7]"
"Morocco"," 2015","87.2 [85.0-89.1]","84.5 [81.9-86.7]","90.0 [88.1-91.7]"
"Morocco"," 2014","87.1 [84.9-89.1]","84.4 [81.8-86.6]","90.0 [88.1-91.6]"
"Morocco"," 2013","87.1 [84.8-89.0]","84.3 [81.8-86.5]","90.0 [88.1-91.6]"
"Morocco"," 2012","87.0 [84.8-88.9]","84.2 [81.7-86.4]","89.9 [88.0-91.5]"
"Morocco"," 2011","86.9 [84.7-88.9]","84.1 [81.6-86.3]","89.9 [88.0-91.5]"
"Morocco"," 2010","86.9 [84.6-88.8]","84.0 [81.4-86.2]","89.8 [87.9-91.5]"
"Morocco"," 2009","86.8 [84.5-88.7]","83.9 [81.3-86.2]","89.8 [87.9-91.4]"
"Morocco"," 2008","86.7 [84.5-88.7]","83.8 [81.2-86.1]","89.8 [87.8-91.4]"
"Morocco"," 2007","86.6 [84.4-88.6]","83.7 [81.1-86.0]","89.7 [87.8-91.4]"
"Morocco"," 2006","86.6 [84.3-88.6]","83.6 [80.9-85.9]","89.7 [87.7-91.4]"
"Morocco"," 2005","86.5 [84.2-88.5]","83.5 [80.8-85.8]","89.6 [87.7-91.3]"
"Morocco"," 2004","86.4 [84.1-88.5]","83.4 [80.7-85.8]","89.6 [87.6-91.3]"
"Morocco"," 2003","86.4 [84.0-88.5]","83.3 [80.5-85.7]","89.6 [87.5-91.3]"
"Morocco"," 2002","86.3 [83.8-88.4]","83.2 [80.4-85.6]","89.5 [87.4-91.3]"
"Morocco"," 2001","86.2 [83.7-88.4]","83.1 [80.2-85.6]","89.5 [87.4-91.3]"
"Mozambique"," 2016","87.1 [84.6-89.2]","83.0 [79.9-85.6]","91.3 [89.4-92.9]"
"Mozambique"," 2015","87.1 [84.7-89.2]","83.1 [80.1-85.7]","91.2 [89.3-92.8]"
"Mozambique"," 2014","87.2 [84.8-89.3]","83.1 [80.2-85.7]","91.2 [89.3-92.8]"
"Mozambique"," 2013","87.2 [84.8-89.3]","83.2 [80.3-85.8]","91.2 [89.3-92.7]"
"Mozambique"," 2012","87.2 [84.9-89.3]","83.3 [80.5-85.8]","91.1 [89.3-92.7]"
"Mozambique"," 2011","87.3 [84.9-89.3]","83.4 [80.6-85.9]","91.1 [89.2-92.7]"
"Mozambique"," 2010","87.3 [85.0-89.3]","83.5 [80.7-85.9]","91.1 [89.2-92.6]"
"Mozambique"," 2009","87.3 [85.0-89.3]","83.6 [80.8-86.0]","91.0 [89.2-92.6]"
"Mozambique"," 2008","87.3 [85.0-89.3]","83.7 [80.9-86.1]","91.0 [89.1-92.6]"
"Mozambique"," 2007","87.4 [85.1-89.4]","83.7 [81.0-86.1]","91.0 [89.1-92.6]"
"Mozambique"," 2006","87.4 [85.1-89.4]","83.8 [81.1-86.2]","90.9 [89.1-92.5]"
"Mozambique"," 2005","87.4 [85.1-89.4]","83.9 [81.2-86.3]","90.9 [89.0-92.5]"
"Mozambique"," 2004","87.4 [85.1-89.4]","84.0 [81.3-86.4]","90.9 [89.0-92.5]"
"Mozambique"," 2003","87.5 [85.1-89.5]","84.1 [81.3-86.5]","90.8 [88.9-92.5]"
"Mozambique"," 2002","87.5 [85.1-89.5]","84.2 [81.4-86.6]","90.8 [88.9-92.5]"
"Mozambique"," 2001","87.5 [85.2-89.6]","84.2 [81.5-86.6]","90.8 [88.8-92.4]"
"Myanmar"," 2016","86.8 [84.1-89.1]","84.1 [81.0-86.8]","89.6 [87.3-91.5]"
"Myanmar"," 2015","86.8 [84.1-89.1]","84.1 [81.0-86.7]","89.6 [87.2-91.5]"
"Myanmar"," 2014","86.8 [84.1-89.1]","84.1 [81.0-86.8]","89.5 [87.2-91.5]"
"Myanmar"," 2013","86.8 [84.1-89.1]","84.1 [81.1-86.8]","89.5 [87.2-91.4]"
"Myanmar"," 2012","86.8 [84.1-89.1]","84.1 [81.1-86.8]","89.5 [87.2-91.4]"
"Myanmar"," 2011","86.8 [84.1-89.1]","84.2 [81.1-86.8]","89.4 [87.1-91.4]"
"Myanmar"," 2010","86.8 [84.1-89.1]","84.2 [81.1-86.8]","89.4 [87.1-91.4]"
"Myanmar"," 2009","86.8 [84.1-89.1]","84.2 [81.2-86.8]","89.4 [87.1-91.4]"
"Myanmar"," 2008","86.8 [84.1-89.1]","84.2 [81.2-86.8]","89.4 [87.0-91.3]"
"Myanmar"," 2007","86.8 [84.1-89.1]","84.2 [81.2-86.8]","89.3 [87.0-91.3]"
"Myanmar"," 2006","86.8 [84.0-89.1]","84.2 [81.2-86.9]","89.3 [86.9-91.3]"
"Myanmar"," 2005","86.8 [84.0-89.1]","84.2 [81.2-86.9]","89.3 [86.9-91.3]"
"Myanmar"," 2004","86.8 [84.0-89.1]","84.3 [81.2-86.9]","89.3 [86.8-91.3]"
"Myanmar"," 2003","86.8 [84.0-89.1]","84.3 [81.1-87.0]","89.3 [86.8-91.3]"
"Myanmar"," 2002","86.8 [83.9-89.2]","84.3 [81.1-87.0]","89.2 [86.7-91.3]"
"Myanmar"," 2001","86.8 [83.9-89.2]","84.3 [81.1-87.0]","89.2 [86.7-91.3]"
"Namibia"," 2016","87.4 [85.0-89.5]","86.5 [84.0-88.6]","88.4 [85.9-90.4]"
"Namibia"," 2015","87.4 [85.0-89.5]","86.5 [84.0-88.6]","88.3 [86.0-90.4]"
"Namibia"," 2014","87.4 [85.0-89.5]","86.5 [84.0-88.6]","88.3 [86.0-90.3]"
"Namibia"," 2013","87.4 [85.0-89.4]","86.5 [84.1-88.6]","88.3 [86.0-90.3]"
"Namibia"," 2012","87.4 [85.0-89.4]","86.5 [84.1-88.5]","88.3 [85.9-90.3]"
"Namibia"," 2011","87.4 [85.0-89.4]","86.5 [84.1-88.5]","88.3 [85.9-90.3]"
"Namibia"," 2010","87.3 [85.0-89.4]","86.5 [84.1-88.5]","88.2 [85.9-90.2]"
"Namibia"," 2009","87.3 [85.0-89.3]","86.4 [84.1-88.5]","88.2 [85.9-90.2]"
"Namibia"," 2008","87.3 [85.0-89.3]","86.4 [84.1-88.5]","88.2 [85.9-90.2]"
"Namibia"," 2007","87.3 [85.0-89.3]","86.4 [84.1-88.5]","88.2 [85.9-90.2]"
"Namibia"," 2006","87.3 [85.0-89.3]","86.4 [84.1-88.5]","88.2 [85.8-90.2]"
"Namibia"," 2005","87.3 [84.9-89.3]","86.4 [84.1-88.5]","88.2 [85.8-90.2]"
"Namibia"," 2004","87.3 [84.9-89.3]","86.4 [84.1-88.5]","88.1 [85.8-90.2]"
"Namibia"," 2003","87.3 [84.9-89.3]","86.4 [84.0-88.5]","88.1 [85.7-90.2]"
"Namibia"," 2002","87.3 [84.9-89.3]","86.4 [84.0-88.5]","88.1 [85.7-90.2]"
"Namibia"," 2001","87.3 [84.8-89.3]","86.4 [84.0-88.5]","88.1 [85.7-90.2]"
"Nauru"," 2016","86.8 [83.4-89.6]","83.6 [79.6-86.9]","90.0 [87.2-92.2]"
"Nauru"," 2015","86.8 [83.4-89.6]","83.6 [79.6-86.9]","90.0 [87.2-92.2]"
"Nauru"," 2014","86.8 [83.4-89.5]","83.6 [79.6-86.9]","90.0 [87.2-92.2]"
"Nauru"," 2013","86.8 [83.4-89.5]","83.6 [79.6-86.9]","89.9 [87.1-92.2]"
"Nauru"," 2012","86.8 [83.4-89.5]","83.6 [79.6-86.9]","89.9 [87.1-92.2]"
"Nauru"," 2011","86.7 [83.3-89.5]","83.6 [79.6-86.9]","89.9 [87.1-92.2]"
"Nauru"," 2010","86.7 [83.3-89.5]","83.6 [79.6-86.9]","89.9 [87.0-92.1]"
"Nauru"," 2009","86.7 [83.3-89.5]","83.6 [79.6-86.9]","89.8 [87.0-92.1]"
"Nauru"," 2008","86.7 [83.3-89.5]","83.6 [79.6-86.9]","89.8 [86.9-92.1]"
"Nauru"," 2007","86.7 [83.2-89.5]","83.6 [79.6-87.0]","89.8 [86.9-92.1]"
"Nauru"," 2006","86.7 [83.2-89.5]","83.6 [79.5-87.0]","89.8 [86.9-92.1]"
"Nauru"," 2005","86.7 [83.2-89.6]","83.6 [79.5-87.0]","89.8 [86.8-92.1]"
"Nauru"," 2004","86.7 [83.1-89.6]","83.6 [79.5-87.0]","89.7 [86.8-92.1]"
"Nauru"," 2003","86.7 [83.1-89.6]","83.6 [79.4-87.0]","89.7 [86.7-92.1]"
"Nauru"," 2002","86.6 [83.0-89.6]","83.6 [79.4-87.1]","89.7 [86.6-92.1]"
"Nauru"," 2001","86.6 [83.0-89.6]","83.6 [79.3-87.1]","89.7 [86.6-92.1]"
"Nepal"," 2016","83.5 [78.1-87.7]","81.8 [76.1-86.3]","85.3 [80.2-89.2]"
"Nepal"," 2015","83.5 [78.1-87.7]","81.8 [76.2-86.3]","85.2 [80.2-89.1]"
"Nepal"," 2014","83.4 [78.1-87.7]","81.8 [76.2-86.3]","85.2 [80.1-89.1]"
"Nepal"," 2013","83.4 [78.1-87.7]","81.8 [76.2-86.3]","85.1 [80.1-89.1]"
"Nepal"," 2012","83.4 [78.1-87.7]","81.8 [76.2-86.3]","85.1 [80.0-89.0]"
"Nepal"," 2011","83.4 [78.1-87.7]","81.8 [76.2-86.3]","85.0 [80.0-89.0]"
